Currency,Price,Market cap,Date,Hour
Ethereum,"$2,754.92","$331,442,712,096",08/23/2024,22:43
XRP,$0.608,"$34,155,225,663",08/23/2024,22:43
Kaspa,$0.1671,"$4,097,455,256",08/23/2024,22:43
Notcoin,$0.01146,"$1,174,766,613",08/23/2024,22:43
Bitcoin,"$63,912.86","$1,262,242,805,070",08/23/2024,22:45
Jupiter,$0.8805,"$1,188,725,373",08/23/2024,22:45
Tars Protocol,$0.1373,"$17,031,546",08/23/2024,22:45
Solana,$153.71,"$71,616,079,049",08/23/2024,22:45
Ethereum,"$2,754.05","$331,526,792,693",08/23/2024,22:45
XRP,$0.608,"$34,157,924,011",08/23/2024,22:45
Kaspa,$0.1672,"$4,099,075,699",08/23/2024,22:45
Notcoin,$0.01146,"$1,174,766,613",08/23/2024,22:45
Bitcoin,"$63,913.53","$1,262,242,805,070",08/23/2024,22:48
Jupiter,$0.8805,"$1,188,725,373",08/23/2024,22:48
Tars Protocol,$0.1373,"$17,031,546",08/23/2024,22:48
Solana,$153.62,"$71,577,008,014",08/23/2024,22:48
Ethereum,"$2,754.45","$331,356,695,863",08/23/2024,22:48
XRP,$0.608,"$34,157,924,011",08/23/2024,22:48
Kaspa,$0.1672,"$4,099,075,699",08/23/2024,22:48
Notcoin,$0.0115,"$1,178,318,489",08/23/2024,22:48
Bitcoin,"$63,928.82","$1,261,735,586,190",08/23/2024,22:50
Jupiter,$0.8805,"$1,188,613,736",08/23/2024,22:50
Tars Protocol,$0.1371,"$16,999,832",08/23/2024,22:50
Solana,$153.62,"$71,577,008,014",08/23/2024,22:50
Ethereum,"$2,754.45","$331,356,695,863",08/23/2024,22:50
XRP,$0.608,"$34,157,924,011",08/23/2024,22:50
Kaspa,$0.1672,"$4,098,747,295",08/23/2024,22:50
Notcoin,$0.0115,"$1,178,318,489",08/23/2024,22:50
Bitcoin,"$63,933.41","$1,262,894,529,760",08/23/2024,22:53
Jupiter,$0.8805,"$1,188,613,736",08/23/2024,22:53
Tars Protocol,$0.1371,"$16,999,832",08/23/2024,22:53
Solana,$153.54,"$71,538,966,432",08/23/2024,22:53
Ethereum,"$2,756.25","$331,573,120,270",08/23/2024,22:53
XRP,$0.6084,"$34,179,224,747",08/23/2024,22:53
Kaspa,$0.1672,"$4,098,747,295",08/23/2024,22:53
Notcoin,$0.0115,"$1,177,996,064",08/23/2024,22:53
Bitcoin,"$63,947.52","$1,262,894,529,760",08/23/2024,22:55
Jupiter,$0.8805,"$1,188,613,736",08/23/2024,22:55
Tars Protocol,$0.1372,"$17,014,715",08/23/2024,22:55
Solana,$153.50,"$71,521,891,144",08/23/2024,22:55
Ethereum,"$2,754.38","$331,573,120,270",08/23/2024,22:55
XRP,$0.6085,"$34,185,522,904",08/23/2024,22:55
